epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.30498,2.88653,3.22938,4.59434,2.06615,0.0019,0.57143,0.27765,0.03573,0.0019,0.57143,0.14694,0.01492,2.014,3.06264,4.03936,2.0593,6e-05,6e-05,6e-05
2,1.896,2.68554,2.92712,4.59986,2.00114,0.00333,1,0.40818,0.16349,0.00333,1,0.995,0.20778,1.47851,2.15144,3.44616,1.71787,0.000139954,0.000139954,0.000139954
3,2.58358,1.74855,1.4132,3.1872,1.44689,0.00333,1,0.40951,0.16091,0.00333,1,0.47797,0.2033,1.29533,1.02818,3.17374,1.27064,0.000219855,0.000219855,0.000219855
4,3.15975,1.47535,1.15335,2.51146,1.33402,0.00333,1,0.34724,0.14012,0.00333,1,0.46802,0.31081,1.30116,0.77548,3.44017,1.36803,0.000299703,0.000299703,0.000299703
5,3.77175,1.34541,0.92618,2.12632,1.30172,0.00333,1,0.01662,0.01071,0.00333,1,0.17918,0.12657,1.33572,0.69094,3.45588,1.33621,0.000379498,0.000379498,0.000379498
6,4.34475,1.22541,0.90366,1.86339,1.17989,0.00333,1,0.01339,0.00804,0.00333,1,0.01953,0.01404,1.17278,0.62683,3.34807,1.16363,0.000459241,0.000459241,0.000459241
7,4.90925,1.24454,0.81739,1.86146,1.13867,0.00333,1,0.01355,0.00839,0.00333,1,0.01606,0.0118,0.88641,0.55548,3.22649,1.11634,0.000538931,0.000538931,0.000538931
8,5.47252,1.16925,0.81019,1.73021,1.10028,0.00333,1,0.01371,0.01074,0.00333,1,0.01371,0.01167,0.86986,0.70275,3.35536,1.10517,0.000618568,0.000618568,0.000618568
9,6.04052,1.04786,0.74972,1.64718,1.05345,0.00333,1,0.01257,0.00936,0.00333,1,0.02418,0.01269,0.99513,0.66571,3.22084,1.10543,0.000698152,0.000698152,0.000698152
10,6.61063,0.99881,0.71799,1.58195,1.00607,0.00333,1,0.01248,0.00901,0.00333,1,0.01604,0.01115,1.04374,0.74244,3.24796,1.14541,0.000777683,0.000777683,0.000777683
11,7.1847,0.94422,0.65121,1.56897,1.01151,0.00333,1,0.08929,0.05968,0.00333,1,0.08929,0.04722,0.9627,1.27344,3.12024,1.12938,0.000857162,0.000857162,0.000857162
12,7.75697,1.04831,0.72833,1.47031,1.01467,0.00333,1,0.15369,0.06394,0.00333,1,0.15869,0.02248,1.25126,1.90914,3.145,1.23549,0.000936588,0.000936588,0.000936588
13,8.44646,1.12661,0.53364,1.51842,1.01603,0.00333,1,0.73586,0.47332,0.00333,1,0.73586,0.43226,1.15163,2.51357,3.03539,1.23975,0.00101596,0.00101596,0.00101596
14,9.0394,0.97525,0.63087,1.36323,0.98259,0.00333,1,0.9775,0.68486,0.00333,1,0.9775,0.51453,1.09867,3.01297,2.76558,1.26513,0.00109528,0.00109528,0.00109528
15,9.61616,1.05133,0.68718,1.40874,1.05525,0.93179,1,0.995,0.75596,0.93179,1,0.995,0.66511,0.93706,2.29628,2.5678,1.1364,0.00117455,0.00117455,0.00117455
16,10.1927,1.08436,0.7033,1.41818,0.99733,1,0.66952,0.995,0.70292,1,0.66952,0.995,0.72966,1.14409,1.75126,2.62036,1.22098,0.00125376,0.00125376,0.00125376
17,10.7543,1.08887,0.63154,1.32278,0.99212,1,0.64871,0.995,0.68874,1,0.64871,0.995,0.80959,1.15619,1.39513,2.56574,1.25751,0.00133292,0.00133292,0.00133292
18,11.3289,1.05334,0.61058,1.35109,1.01592,1,0.7368,0.995,0.65777,1,0.7368,0.995,0.71553,1.08707,1.52994,2.44624,1.24148,0.00141203,0.00141203,0.00141203
19,11.8847,1.13673,0.53616,1.35427,1.04644,0.95625,1,0.995,0.67526,0.95625,1,0.995,0.72265,1.10061,1.43927,2.03758,1.1571,0.00149109,0.00149109,0.00149109
20,12.4376,0.97865,0.65524,1.42202,1.04395,0.95569,1,0.995,0.73018,0.95569,1,0.995,0.82292,0.99768,1.15921,1.89112,1.1171,0.00157009,0.00157009,0.00157009
21,13.0046,1.0398,0.82924,1.27002,0.9897,1,0.99799,0.995,0.74554,1,0.99799,0.995,0.78658,1.14814,1.68864,2.03069,1.21389,0.00164904,0.00164904,0.00164904
22,13.6422,1.04044,0.705,1.29402,1.09594,0.90904,1,0.995,0.64429,0.90904,1,0.995,0.79131,1.262,1.73633,1.78824,1.14617,0.00172794,0.00172794,0.00172794
23,14.2019,1.13679,0.68879,1.31154,1.00607,0.8549,1,0.995,0.67255,0.8549,1,0.995,0.80801,1.2225,1.29838,1.70462,1.23024,0.00180679,0.00180679,0.00180679
24,14.7654,1.00967,0.59495,1.25551,1.00108,0.98873,1,0.995,0.62052,0.98873,1,0.995,0.70576,1.1671,1.13299,1.58765,1.17944,0.00188558,0.00188558,0.00188558
25,15.3233,0.99384,0.74034,1.12515,0.96457,0.98919,1,0.995,0.6705,0.98919,1,0.995,0.70005,1.17535,0.84247,1.35902,1.16436,0.00196432,0.00196432,0.00196432
26,15.9007,0.98683,0.6025,1.16291,0.97267,1,0.9934,0.995,0.67001,1,0.9934,0.995,0.75945,1.07478,0.77763,1.7147,1.10618,0.0019835,0.0019835,0.0019835
27,16.4505,0.97832,0.49291,1.18968,0.98933,1,0.98757,0.995,0.58679,1,0.98757,0.995,0.76556,1.08549,0.84428,2.07768,1.11773,0.00198284,0.00198284,0.00198284
28,17.013,0.91852,0.51912,1.16347,0.96407,0.98883,1,0.995,0.76565,0.98883,1,0.995,0.82909,0.90476,0.81057,1.32081,1.05777,0.00198218,0.00198218,0.00198218
29,17.5713,0.96371,0.58273,1.0686,0.99464,0.98537,1,0.995,0.75114,0.98537,1,0.995,0.78778,1.0127,0.75688,1.07626,1.06025,0.00198152,0.00198152,0.00198152
30,18.1201,1.0233,0.47057,1.12445,0.93765,0.99753,1,0.995,0.7566,0.99753,1,0.995,0.80859,1.06915,0.74604,1.02538,1.14184,0.00198086,0.00198086,0.00198086
31,18.7609,1.07666,0.61603,1.15014,1.04575,0.99364,0.85714,0.9775,0.66741,0.99364,0.85714,0.9775,0.81334,1.17979,0.62433,1.11666,1.09004,0.0019802,0.0019802,0.0019802
